Geneid	KRS7_1_QGP1_1_DMSO	KRS7_4_QGP1_2_DMSO	KRS7_7_QGP1_3_DMSO	KRS7_2_QGP1_1_Tg6h	KRS7_5_QGP1_2_Tg6h	KRS7_8_QGP1_3_Tg6h	KRS7_3_QGP1_1_Tg24h	KRS7_6_QGP1_2_Tg24h	KRS7_9_QGP1_3_Tg24h
DDX11L1	0	0	0	0	0	0	0	0	0
NSMF	14.2725354683261	8.52783342721273	11.4706674200897	5.73001924210741	8.49086642452024	10.0730879139408	9.96511962323193	8.87772575375902	7.02238021652735
MIR6859-1	0	0	0	0	0	0	0	0	0
MIR6859-2	0	0	0	0	0	0	0	0	0
MIR6859-3	0	0	0	0	0	0	0	0	0
MIR6859-4	0	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0
MIR1302-9	0	0	0	0	0	0	0	0	0
MIR1302-10	0	0	0	0	0	0	0	0	0
MIR1302-11	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0	0
FAM138C	0	0	0	0	0	0	0	0	0
LOC729737	3.24428711029092	2.83163070533198	2.2885937897842	1.72813323691169	2.30916575988471	2.49406792285603	1.98259424264283	2.03892698148766	2.36547876369406
FAM138D	0	0	0	0	0	0	0	0	0
LOC100132287	0	0	0	0	0	0	0	0	0
LOC100132062	0	0	0	0	0	0	0	0	0
LOC101928626	0	0	0	0	0	0	0	0	0
MIR6723	0	0.168363204263359	0.0232574394753015	0.133606359996593	0	0.0252739373403938	0	0.178396243831285	0.0439672835426316
LOC100133331	2.30747706557717	3.154361041862	1.83294424569216	1.01215368919064	1.55314732398548	1.94554416803769	1.84945111513071	1.89641158347416	1.53109498837849
LOC100288069	1.07282899899149	0.908240821758038	1.17887893579248	0.522199344228638	1.23854721099832	1.11130845071759	1.1805168887949	1.43809922809323	1.63790491134483
FAM87B	0.0564658364979398	0	0.0149512110912652	0	0.0550884723857084	0	0	0	0
LINC00115	0.152313526959725	0.116781582522662	0.172075007274691	0.0123564308276356	0.125482892422917	0.151933020271451	0.193954952671332	0.280479120879781	0.121987912354042
NR1I2	0	0	0	0	0	0	0	0	0
TNFSF11	0	0	0	0	0.0184532071841654	0	0	0	0
CEP19	1.30048360490146	1.51733323733259	1.1078969635612	1.1926278892339	0.894874957873204	0.564015113945029	1.17393182466276	1.34745064822977	1.13212760075713
NLRP1	9.23777406550172	6.56040661563659	8.24142898019336	11.2020446459684	15.7534488757719	12.7995615895692	19.2996067199125	19.9649802847993	23.7971131975652
FAM41C	0.0250165098408593	0.0159838485060151	0	0	0	0	0	0	0
LOC100130417	1.60726873626204	0.395926908122121	0.892175432279727	0.141386349604458	0.390441347302591	0.133728279880583	1.20613936072573	0.613549231653791	0.44588881476255
AGL	24.2324809016857	29.9745914049613	22.4832637182457	15.2788301813089	11.8997305494059	14.6417270073797	17.5992180084803	17.443247561458	19.1137378193816
