Geneid	KRS7_1_QGP1_1_DMSO	KRS7_2_QGP1_1_Tg6h	KRS7_3_QGP1_1_Tg24h	KRS7_4_QGP1_2_DMSO	KRS7_5_QGP1_2_Tg6h	KRS7_6_QGP1_2_Tg24h	KRS7_7_QGP1_3_DMSO	KRS7_8_QGP1_3_Tg6h	KRS7_9_QGP1_3_Tg24h
DDX11L1	0	0	0	0	0	0	0	0	0
NSMF	14.2725354683261	5.73001924210741	9.96511962323193	8.52783342721273	8.49086642452024	8.87772575375902	11.4706674200897	10.0730879139408	7.02238021652735
MIR6859-1	0	0	0	0	0	0	0	0	0
MIR6859-2	0	0	0	0	0	0	0	0	0
MIR6859-3	0	0	0	0	0	0	0	0	0
MIR6859-4	0	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0
MIR1302-9	0	0	0	0	0	0	0	0	0
MIR1302-10	0	0	0	0	0	0	0	0	0
MIR1302-11	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0	0
FAM138C	0	0	0	0	0	0	0	0	0
LOC729737	3.24428711029092	1.72813323691169	1.98259424264283	2.83163070533198	2.30916575988471	2.03892698148766	2.2885937897842	2.49406792285603	2.36547876369406
FAM138D	0	0	0	0	0	0	0	0	0
LOC100132287	0	0	0	0	0	0	0	0	0
LOC100132062	0	0	0	0	0	0	0	0	0
LOC101928626	0	0	0	0	0	0	0	0	0
MIR6723	0	0.133606359996593	0	0.168363204263359	0	0.178396243831285	0.0232574394753015	0.0252739373403938	0.0439672835426316
LOC100133331	2.30747706557717	1.01215368919064	1.84945111513071	3.154361041862	1.55314732398548	1.89641158347416	1.83294424569216	1.94554416803769	1.53109498837849
LOC100288069	1.07282899899149	0.522199344228638	1.1805168887949	0.908240821758038	1.23854721099832	1.43809922809323	1.17887893579248	1.11130845071759	1.63790491134483
FAM87B	0.0564658364979398	0	0	0	0.0550884723857084	0	0.0149512110912652	0	0
