Geneid	KRS7_14
Xkr4	6.0332630359048
Rp1	0.0147992416569056
Sox17	0
Mrpl15	118.727215046355
Lypla1	47.3856758554107
Tcea1	9.8715029048933
Rgs20	0.50408576382815
Atp6v1h	187.978006180735
Oprk1	0
Npbwr1	0.0119218907977112
Rb1cc1	34.2580248688501
Fam150a	0
St18	60.1266662477646
Pcmtd1	47.4219495174472
Sntg1	0.0160156176835006
Rrs1	72.0969722718917
Adhfe1	1.08942599378903
2610203C22Rik	0.0195426676288432
3110035E14Rik	0
Mybl1	166.526790454822
Vcpip1	197.589356602952
1700034P13Rik	1.56415567716184
Sgk3	9.98197638211573
Mcmdc2	0.0351847834749304
Snhg6	8.32177214698148
Snord87	0.121785426134952
Tcf24	0.0436246302572963
Ppp1r42	0.935312072716434
Cops5	48.9485986082349
Cspp1	77.6312579380792
Arfgef1	450.56690257928
Cpa6	0
Mir467e	0
Prex2	0.00780467350397558
A830018L16Rik	0.0239577887478594
Mir6341	0
Gm17644	0
Sulf1	0.959026174485532
Slco5a1	0.134497036270251
Prdm14	0
Ncoa2	127.945732041036
Tram1	386.357916524129
Lactb2	17.3966073679706
Xkr9	0.0793983083800028
Gm5523	0.0321486734435072
Eya1	73.9477345779428
Msc	0
Trpa1	0
Kcnb2	0
Terf1	21.3408939531216
Sbspon	0
4930444P10Rik	0.0770438280656041
Rpl7	121.788879291339
Rdh10	12.4694066212195
Stau2	49.8397730846343
Ube2w	139.702862732946
Tceb1	18.1715328895238
D030040B21Rik	0.0398671160067942
Tmem70	19.3126525783976
Ly96	1.36115097383127
Jph1	0
Gdap1	114.975234064451
Pi15	0.0268922390085232
Gm16070	0.0144160307138784
Crispld1	0.0396050166292528
Crisp4	0.00890434189562486
Defb44-ps	0
Defb18	0
Defb41	0.11191093212401
Gm15386	0
Tfap2d	0
Tfap2b	0.0395871362605714
Pkhd1	0.128207149491578
4930486I03Rik	0
Linc-md1	0
Mir206	0
Mir133b	0
Il17a	0.304698672337641
Il17f	0.807263396094541
Mcm3	146.676719897839
6720483E21Rik	0.747563370488764
Paqr8	9.73425009600254
Efhc1	0.840899370931814
Tram2	3.27017246630746
Tmem14a	5.72615647790352
Gsta3	0.202975710224921
Gm4956	0
Khdc1a	0
Khdc1c	0
Khdc1b	0
Kcnq5	0.14564599093829
Rims1	0.0187122293677264
4933415F23Rik	0
Mir30a	0
Mir30c-2	0.0075137537975292
Ogfrl1	1.43773913122689
B3gat2	0.0796583919373275
Smap1	160.517184610658
Sdhaf4	2.5104474049048
Fam135a	85.2767419728151
Col9a1	0.0146969213186115
Col19a1	0
Lmbrd1	132.126022260938
Adgrb3	16.5859650763835
Gm20172	0.0028515611973062
4931408C20Rik	0
Gm597	0
Mir6342	0
Phf3	558.537821327105
Ptp4a1	20.7804226195502
Gm13363	0
4931428L18Rik	0
